iter	Passed	Remaining
0	15	15803
1	27	13879
2	39	12996
3	50	12495
4	60	12128
5	71	11914
6	82	11769
7	99	12296
8	110	12211
9	123	12248
10	135	12141
11	145	11985
12	155	11831
13	166	11700
14	176	11613
15	187	11508
16	197	11407
17	208	11358
18	219	11315
19	229	11268
20	240	11223
21	251	11192
22	262	11143
23	272	11091
24	283	11046
25	293	11009
26	303	10935
27	314	10907
28	325	10885
29	334	10826
30	345	10809
31	356	10792
32	367	10756
33	376	10693
34	386	10661
35	396	10624
36	406	10585
37	417	10561
38	428	10550
39	438	10533
40	448	10488
41	458	10453
42	468	10421
43	478	10394
44	488	10376
45	498	10345
46	509	10326
47	519	10299
48	529	10277
49	539	10254
50	550	10235
51	560	10220
52	570	10197
53	581	10191
54	591	10161
55	601	10137
56	611	10121
57	621	10099
58	631	10072
59	643	10076
60	653	10067
61	665	10072
62	675	10051
63	685	10029
64	694	9995
65	705	9981
66	714	9953
67	724	9932
68	734	9916
69	745	9900
70	755	9880
71	764	9856
72	774	9840
73	784	9820
74	794	9799
75	804	9781
76	814	9759
77	823	9731
78	833	9714
79	843	9705
80	854	9690
81	863	9670
82	874	9662
83	885	9652
84	895	9635
85	905	9620
86	915	9609
87	925	9594
88	936	9585
89	946	9566
90	956	9553
91	966	9536
92	975	9515
93	985	9498
94	995	9485
95	1006	9477
96	1016	9463
97	1026	9447
98	1036	9429
99	1046	9414
100	1056	9405
101	1068	9405
102	1078	9393
103	1088	9379
104	1099	9367
105	1108	9351
106	1118	9336
107	1128	9318
108	1137	9301
109	1148	9289
110	1158	9279
111	1167	9260
112	1178	9248
113	1188	9240
114	1199	9228
115	1209	9214
116	1219	9200
117	1228	9185
118	1238	9170
119	1249	9160
120	1258	9144
121	1268	9130
122	1279	9120
123	1289	9112
124	1299	9098
125	1309	9086
126	1320	9075
127	1329	9060
128	1339	9041
129	1347	9019
130	1357	9008
131	1368	8996
132	1378	8986
133	1388	8973
134	1398	8961
135	1407	8943
136	1417	8930
137	1427	8919
138	1437	8907
139	1448	8896
140	1458	8885
141	1467	8868
142	1477	8856
143	1488	8846
144	1498	8837
145	1509	8826
146	1518	8813
147	1528	8796
148	1538	8784
149	1548	8772
150	1558	8761
151	1567	8747
152	1577	8735
153	1588	8726
154	1598	8714
155	1609	8705
156	1619	8694
157	1628	8679
158	1638	8666
159	1648	8653
160	1658	8643
161	1668	8630
162	1678	8617
163	1687	8604
164	1697	8591
165	1707	8580
166	1718	8570
167	1728	8559
168	1738	8549
169	1749	8540
170	1758	8523
171	1767	8508
172	1776	8491
173	1786	8479
174	1795	8466
175	1806	8457
176	1816	8448
177	1827	8439
178	1837	8426
179	1847	8415
180	1857	8404
181	1867	8394
182	1877	8382
183	1888	8373
184	1898	8362
185	1908	8353
186	1918	8341
187	1928	8331
