iter	Logloss
0	0.6879816896
1	0.6831139102
2	0.6785034125
3	0.6747063956
4	0.6705557069
5	0.667189281
6	0.6633948731
7	0.6601579209
8	0.6578440326
9	0.6548520632
10	0.6524307916
11	0.6499599631
12	0.6475230217
13	0.6460938413
14	0.6437399251
15	0.6413357566
16	0.6395801472
17	0.637319646
18	0.6361118677
19	0.6346905978
20	0.633397442
21	0.6324042216
22	0.6307850766
23	0.6298348133
24	0.6285979177
25	0.6275260937
26	0.6264735299
27	0.6250822223
28	0.6237188879
29	0.6228424447
30	0.6216450652
31	0.6209284194
32	0.6196488684
33	0.6189548795
34	0.6182479517
35	0.6174318716
36	0.6168464593
37	0.6159154108
38	0.615004905
39	0.6143793262
40	0.6134808278
41	0.6127170873
42	0.6119497263
43	0.611375514
44	0.6108320827
45	0.6103380312
46	0.6095470143
47	0.6089966474
48	0.6082475864
49	0.6077934932
50	0.6074027921
51	0.60702856
52	0.6063473163
53	0.6060618803
54	0.6053754177
55	0.604754094
56	0.6041950699
57	0.6037720815
58	0.6033040765
59	0.6029942718
60	0.602604805
61	0.6023032497
62	0.6020384404
63	0.6015971314
64	0.6013462761
65	0.6008342751
66	0.6006150888
67	0.6003381673
68	0.5999268747
69	0.599738299
70	0.5994986662
71	0.5993277463
72	0.5989662058
73	0.5985962294
74	0.5983772575
75	0.5980971664
76	0.5976959051
77	0.597372454
78	0.5969707326
79	0.596769291
80	0.5966294861
81	0.596256357
82	0.596086843
83	0.5958946669
84	0.595571471
85	0.5952728722
86	0.5950340294
87	0.594893175
88	0.5947439831
89	0.5945595782
90	0.5944074664
91	0.5942590891
92	0.5940953452
93	0.5938532821
94	0.5937794653
95	0.5936416554
96	0.5934899368
97	0.5932853648
98	0.5931427269
99	0.5929904615
100	0.5928738794
101	0.5928017817
102	0.5926608037
103	0.5924164557
104	0.5922936331
105	0.5922151585
106	0.5920687442
107	0.5919752643
108	0.5918839896
109	0.5917859409
110	0.5915936929
111	0.5914524025
112	0.5913790306
113	0.5912760839
114	0.5910812781
115	0.5910110271
116	0.5909426874
117	0.5908465714
118	0.5907504466
119	0.5906750753
120	0.5905711309
121	0.5904778951
122	0.5903691288
123	0.590233849
124	0.5901678475
125	0.5900535923
126	0.5899895623
127	0.5898472011
128	0.5897874138
129	0.5897288194
130	0.5896668468
131	0.5896048734
132	0.5895202991
133	0.5894507007
134	0.5893189898
135	0.5891984746
136	0.5891336221
137	0.5890817048
138	0.5890041143
139	0.5889166634
140	0.5888601048
141	0.5887975492
142	0.5887424039
143	0.588664948
144	0.5886054265
145	0.5885295815
146	0.5884776899
147	0.5884155325
148	0.5883495596
149	0.588287776
150	0.5882401088
151	0.5881880873
152	0.5880825951
153	0.5880268011
154	0.5879748086
155	0.5878994005
156	0.587824777
157	0.5877103681
158	0.5876678862
159	0.5876327793
160	0.5875529761
161	0.5874884695
162	0.5874127098
163	0.5873441505
164	0.5872812133
165	0.5872163739
166	0.5871684416
167	0.5871268338
168	0.5870657637
169	0.5870207469
170	0.5869909336
171	0.5869562966
172	0.5869213597
173	0.5868753136
174	0.5868529724
175	0.5868057903
176	0.5867694299
177	0.5867120717
178	0.5866334001
179	0.5866015542
180	0.5865622903
181	0.5865053564
182	0.5864590787
183	0.5864281179
184	0.5863885031
185	0.5863444954
186	0.586318259
187	0.5862873736
188	0.5862582997
189	0.5862313558
190	0.5861945286
191	0.5861536622
192	0.5861267066
193	0.586084204
194	0.5860351591
195	0.5859788594
196	0.5858821446
197	0.5858468916
198	0.5858211011
199	0.5857933952
200	0.5857643455
201	0.5857226871
202	0.5856772058
203	0.5856554272
204	0.5856273014
205	0.5855902462
206	0.5855606616
207	0.5855291492
208	0.5854929484
209	0.585459217
210	0.5854317883
211	0.5854051641
212	0.58537196
213	0.5853516837
214	0.5853241518
215	0.5853031915
216	0.5852735157
217	0.5852511022
218	0.5852149962
219	0.5851893475
220	0.5851672536
221	0.5851528968
222	0.5851324811
223	0.5850572745
224	0.5849834203
225	0.5849603046
226	0.5849437929
227	0.5849300209
228	0.5849002618
229	0.5848361188
230	0.5847986295
231	0.5847647189
232	0.5847372314
233	0.5846862217
234	0.5846626823
235	0.5846409388
236	0.5846261397
237	0.5846092728
238	0.5845920678
239	0.584572905
240	0.5845519231
241	0.5845256149
242	0.5845108493
243	0.584490301
244	0.5844696104
245	0.5844053346
246	0.5843751778
247	0.5843529273
248	0.5843346212
249	0.5843160793
250	0.5843017276
251	0.5842828594
252	0.5842509474
253	0.5842271052
254	0.5841935521
255	0.584177849
256	0.584162272
257	0.5841309474
258	0.5841067713
259	0.5840897402
260	0.5840687047
261	0.5840560563
262	0.5840297349
263	0.584014915
264	0.583995394
265	0.5839797317
266	0.5839536425
267	0.5838980503
268	0.583880408
269	0.5838639989
270	0.5838488699
271	0.5838342137
272	0.5838127095
273	0.5838019594
274	0.5837886577
275	0.5837505142
276	0.5837240103
