iter	Passed	Remaining
0	11	14004
1	29	17443
2	47	19038
3	58	17529
4	68	16442
5	77	15520
6	87	14954
7	97	14487
8	106	14146
9	117	13972
10	126	13720
11	136	13515
12	146	13351
13	155	13207
14	165	13059
15	174	12939
16	184	12834
17	193	12733
18	203	12639
19	213	12583
20	222	12494
21	231	12420
22	241	12370
23	250	12283
24	260	12227
25	270	12193
26	279	12127
27	289	12115
28	298	12056
29	307	11991
30	316	11945
31	326	11905
32	335	11875
33	344	11821
34	354	11795
35	363	11762
36	373	11738
37	382	11694
38	391	11663
39	399	11595
40	408	11544
41	417	11499
42	426	11471
43	434	11413
44	442	11365
45	451	11338
46	461	11315
47	470	11293
48	480	11281
49	489	11262
50	498	11229
51	507	11214
52	517	11190
53	526	11168
54	536	11161
55	544	11129
56	553	11103
57	563	11092
58	572	11077
59	582	11067
60	592	11063
61	602	11067
62	612	11047
63	621	11026
64	630	11004
65	638	10979
66	648	10964
67	657	10942
68	666	10923
69	675	10906
70	685	10898
71	694	10883
72	703	10858
73	712	10844
74	722	10830
75	731	10813
76	740	10798
77	749	10775
78	758	10758
79	767	10750
80	777	10736
81	786	10722
82	795	10711
83	805	10697
84	814	10680
85	823	10670
86	832	10653
87	842	10643
88	850	10617
89	859	10605
90	868	10586
91	878	10579
92	887	10562
93	896	10545
94	905	10533
95	914	10515
96	923	10496
97	932	10482
98	941	10473
99	950	10457
100	959	10443
101	968	10424
102	976	10401
103	986	10391
104	995	10377
105	1004	10367
106	1013	10355
107	1023	10347
108	1033	10339
109	1042	10327
110	1051	10315
111	1060	10305
112	1069	10291
113	1078	10272
114	1086	10254
115	1096	10241
116	1104	10227
117	1114	10218
118	1123	10201
119	1132	10196
120	1141	10176
121	1150	10162
122	1159	10156
123	1168	10140
124	1178	10132
125	1186	10117
126	1196	10108
127	1205	10099
128	1214	10084
129	1224	10074
130	1233	10065
131	1242	10054
132	1251	10039
133	1260	10024
134	1269	10013
135	1278	10003
136	1284	9966
137	1292	9949
138	1301	9937
139	1310	9923
140	1319	9911
141	1329	9902
142	1340	9905
143	1349	9898
144	1357	9879
145	1366	9865
146	1375	9856
147	1385	9845
148	1393	9829
149	1402	9817
150	1411	9806
151	1420	9792
152	1429	9781
153	1438	9769
154	1447	9760
155	1455	9743
156	1465	9732
157	1473	9720
158	1482	9707
159	1492	9698
160	1501	9688
161	1510	9678
162	1519	9665
163	1527	9652
164	1536	9638
165	1545	9628
166	1555	9620
167	1564	9612
168	1574	9603
169	1583	9592
170	1592	9580
171	1600	9566
172	1609	9554
173	1618	9544
174	1626	9529
175	1636	9519
176	1644	9506
177	1653	9493
178	1661	9479
179	1670	9465
180	1678	9449
181	1686	9433
182	1696	9426
183	1705	9417
184	1714	9405
185	1722	9391
186	1731	9379
187	1740	9369
188	1749	9356
189	1758	9346
190	1767	9337
191	1776	9325
192	1784	9312
193	1793	9302
194	1802	9289
195	1811	9280
196	1819	9266
197	1828	9253
198	1838	9246
199	1846	9233
200	1855	9224
201	1864	9210
202	1873	9199
203	1881	9188
204	1891	9178
205	1899	9164
206	1908	9154
207	1917	9142
208	1925	9129
209	1934	9121
210	1943	9110
211	1951	9096
212	1960	9086
213	1970	9077
214	1979	9067
215	1987	9053
216	1996	9044
217	2004	9029
218	2013	9020
219	2022	9009
220	2031	8999
221	2040	8987
222	2048	8975
223	2056	8962
224	2065	8950
225	2074	8940
226	2082	8927
227	2091	8915
228	2100	8906
229	2108	8893
230	2117	8882
231	2128	8882
232	2137	8872
233	2146	8862
234	2155	8852
235	2164	8841
236	2173	8832
237	2181	8818
238	2190	8807
239	2199	8796
240	2209	8790
241	2217	8778
242	2225	8766
243	2235	8757
244	2244	8748
245	2253	8739
246	2262	8727
247	2271	8718
248	2280	8708
249	2289	8698
250	2297	8687
251	2306	8678
252	2315	8668
253	2324	8658
254	2333	8648
255	2341	8635
256	2351	8626
257	2359	8613
258	2368	8604
259	2377	8595
260	2386	8587
261	2395	8575
262	2404	8565
263	2412	8554
264	2422	8545
265	2430	8533
266	2438	8520
267	2447	8511
268	2457	8503
269	2466	8494
270	2474	8483
271	2483	8473
272	2493	8465
273	2501	8453
274	2509	8441
275	2518	8430
276	2526	8419
277	2536	8410
278	2544	8399
279	2553	8389
280	2561	8376
281	2570	8367
282	2579	8357
283	2588	8347
284	2597	8338
285	2606	8329
286	2615	8319
287	2623	8307
288	2631	8294
289	2638	8280
290	2647	8268
291	2656	8260
292	2664	8248
293	2673	8237
294	2682	8228
295	2690	8216
296	2698	8205
297	2706	8193
298	2715	8182
299	2723	8170
300	2732	8161
301	2740	8150
302	2749	8140
303	2758	8129
304	2767	8120
305	2776	8110
306	2785	8102
307	2794	8092
308	2802	8080
309	2811	8070
310	2819	8059
311	2827	8046
312	2835	8035
313	2844	8024
314	2852	8013
315	2860	8003
316	2868	7989
317	2876	7978
318	2884	7965
319	2892	7954
320	2900	7942
321	2909	7932
322	2916	7920
323	2925	7908
324	2934	7899
325	2942	7888
326	2950	7877
327	2959	7867
328	2967	7857
329	2975	7845
330	2985	7837
331	2993	7825
332	3001	7815
333	3009	7803
334	3018	7794
335	3027	7783
336	3036	7776
337	3045	7766
338	3054	7756
339	3063	7747
340	3071	7737
341	3079	7726
342	3088	7716
343	3098	7709
344	3106	7699
345	3115	7689
346	3124	7679
347	3132	7669
348	3141	7659
349	3149	7648
350	3157	7637
351	3165	7626
352	3174	7616
353	3183	7606
354	3191	7596
355	3200	7588
356	3209	7578
357	3217	7567
358	3225	7557
359	3233	7545
360	3242	7536
361	3251	7527
362	3260	7517
363	3269	7507
364	3277	7497
365	3285	7486
366	3294	7477
367	3303	7469
368	3312	7458
369	3320	7447
370	3328	7438
371	3334	7421
372	3343	7412
373	3352	7403
374	3361	7394
375	3370	7386
376	3379	7377
377	3388	7368
378	3397	7359
379	3405	7348
380	3414	7338
381	3422	7329
382	3431	7319
383	3440	7311
384	3448	7301
385	3457	7290
386	3465	7281
387	3474	7271
388	3482	7260
389	3491	7251
390	3499	7241
391	3508	7232
392	3517	7223
393	3525	7212
394	3534	7202
395	3542	7192
396	3550	7181
397	3560	7173
398	3569	7165
399	3577	7154
400	3586	7145
401	3594	7135
402	3603	7126
403	3612	7117
404	3620	7106
405	3628	7096
406	3637	7086
407	3645	7076
408	3654	7067
409	3662	7057
410	3671	7048
411	3680	7038
412	3688	7028
413	3696	7018
414	3705	7008
415	3712	6997
416	3721	6987
417	3730	6978
418	3738	6968
419	3747	6959
420	3755	6949
421	3766	6944
422	3774	6932
423	3782	6923
424	3792	6915
425	3801	6907
426	3810	6897
427	3818	6888
428	3827	6878
429	3836	6869
430	3845	6860
431	3853	6850
432	3861	6840
433	3869	6829
434	3878	6820
435	3887	6811
436	3895	6800
437	3903	6791
438	3912	6781
439	3920	6771
440	3928	6762
441	3938	6753
442	3947	6745
443	3956	6736
444	3964	6727
445	3973	6717
446	3982	6709
447	3991	6700
448	4000	6691
449	4009	6681
450	4017	6672
451	4027	6664
452	4035	6654
453	4043	6643
454	4052	6635
455	4061	6626
456	4069	6616
457	4078	6607
458	4086	6597
459	4095	6588
460	4103	6578
461	4112	6568
462	4120	6559
463	4129	6549
464	4137	6540
465	4146	6530
466	4154	6521
467	4163	6511
468	4172	6502
469	4180	6493
470	4188	6483
471	4197	6474
472	4206	6465
473	4215	6456
474	4223	6446
475	4231	6436
476	4240	6427
477	4248	6416
478	4256	6407
479	4264	6397
480	4273	6388
481	4282	6379
482	4291	6370
483	4299	6360
484	4308	6351
485	4317	6342
486	4326	6334
487	4334	6324
488	4343	6315
489	4351	6305
490	4359	6295
491	4368	6286
492	4377	6277
493	4386	6268
494	4393	6257
495	4402	6248
496	4411	6239
497	4419	6229
498	4428	6221
499	4437	6212
500	4446	6203
501	4454	6193
502	4462	6183
503	4470	6173
504	4478	6163
505	4486	6152
506	4494	6143
507	4501	6132
508	4510	6123
509	4519	6114
510	4528	6105
511	4536	6096
512	4545	6086
513	4553	6076
514	4560	6066
515	4568	6056
516	4577	6046
517	4585	6037
518	4594	6028
519	4602	6018
520	4610	6009
521	4618	5999
522	4627	5990
523	4635	5980
524	4643	5970
525	4652	5961
526	4660	5951
527	4668	5941
528	4674	5928
529	4683	5920
530	4692	5912
531	4701	5902
532	4709	5893
533	4718	5884
534	4727	5875
535	4735	5866
536	4743	5857
537	4752	5847
538	4761	5839
539	4770	5830
540	4779	5821
541	4787	5812
542	4795	5802
543	4802	5791
544	4810	5781
545	4818	5771
546	4823	5758
547	4832	5750
548	4842	5741
549	4850	5732
550	4858	5722
551	4866	5713
552	4875	5703
553	4883	5694
554	4891	5684
555	4899	5675
556	4908	5666
557	4916	5656
558	4924	5646
559	4933	5638
560	4941	5628
561	4949	5618
562	4957	5609
563	4965	5599
564	4973	5590
565	4982	5580
566	4990	5571
567	4999	5562
568	5007	5552
569	5016	5545
570	5024	5535
571	5032	5525
572	5041	5516
